1,Estonia
2,Thailand
3,New Zealand
4,United Kingdom
5,United Arab Emirates
6,Israel
7,Netherlands
8,Iran
9,Taiwan
10,Hungary
11,Sweden
12,Cyprus
13,Saudi Arabia
14,Greece
15,China
16,Poland
17,Cuba
18,Slovakia
19,Turkey
20,Czech Republic
21,Germany
22,Portugal
23,Brazil
24,Austria
25,Russian Federation
26,United States
27,Singapore
28,Serbia
29,Belgium
30,Canada
31,Italy
32,South Korea
33,Switzerland
34,Japan
35,Argentina
36,Finland
37,Ireland
38,Denmark
39,Australia
40,Spain
41,France
42,Slovenia
43,Mexico
44,India
45,Vietnam
46,Norway
47,Iraq
48,Bangladesh
49,Tunisia
50,Indonesia
51,Uganda
52,Malaysia
53,Pakistan
54,Colombia
55,Venezuela
56,Croatia
57,Puerto Rico
58,Palestine
59,Chile
60,South Africa
61,Romania
62,Lebanon
63,Ghana
64,Uruguay
65,Morocco
66,Ukraine
67,Bulgaria
68,Hong Kong
69,Egypt
70,Iceland
71,Jordan
72,Nigeria
73,Costa Rica
74,Macedonia
75,Lithuania
76,Macao
77,Algeria
78,Peru
79,Cameroon
80,Armenia
81,Kuwait
82,Azerbaijan
83,Qatar
84,Myanmar
85,Kenya
86,Luxembourg
87,Latvia
88,Gabon
89,Belarus
90,Philippines
91,Swaziland
