35,Argentina,Buenos Aires
39,Australia,Canberra
24,Austria,Vienna
29,Belgium,Brussels
23,Brazil,Brasília
30,Canada,Ottawa
15,China,Beijing
17,Cuba,Havana
12,Cyprus,Nicosia
20,Czech Republic,Prague
38,Denmark,Copenhagen
1,Estonia,Tallinn
36,Finland,Helsinki
41,France,Paris
21,Germany,Berlin
14,Greece,Athens
10,Hungary,Budapest
44,India,New Delhi
8,Iran,Tehran
37,Ireland,Dublin
6,Israel,Jerusalem
31,Italy,Rome
34,Japan,Tokyo
43,Mexico,Mexico City
7,Netherlands,Amsterdam
3,New Zealand,Wellington
16,Poland,Warsaw
22,Portugal,Lisbon
25,Russian Federation,Moscow
13,Saudi Arabia,Riyadh
28,Serbia,Belgrade
27,Singapore,Singapore
18,Slovakia,Bratislava
42,Slovenia,Ljubljana
32,South Korea,Seoul
40,Spain,Madrid
11,Sweden,Stockholm
33,Switzerland,Bern
9,Taiwan,Taipei
2,Thailand,Bangkok
19,Turkey,Ankara
5,United Arab Emirates,Abu Dhabi
4,United Kingdom,London
26,United States,Washington
